RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
79.0,2,3,3.34,1.4,1.82,3,0.88,4.1,2,2020.0,0
81.0,0,2,3.15,1.37,1.35,3,0.72,3.44,1,2020.0,2
100.0,0,3,3.91,1.37,1.54,4,0.84,3.75,2,2018.0,1
96.0,0,2,3.78,1.23,1.65,4,0.86,3.74,0,2020.0,0
89.0,1,2,2.8,1.06,1.18,4,0.68,2.92,1,2018.0,2
91.0,2,3,4.19,1.45,1.65,3,0.84,3.94,2,2018.0,0
90.0,0,2,3.49,1.52,1.54,3,0.79,3.85,2,2020.0,2
98.0,0,3,3.97,1.42,1.57,4,0.87,3.85,2,2019.0,1
98.0,0,3,4.09,1.41,1.66,4,0.99,4.06,0,2020.0,0
96.0,2,2,4.09,1.46,1.54,3,0.87,3.87,0,2017.0,0
77.0,0,2,3.84,1.19,1.52,3,0.78,3.49,3,2020.0,4
50.0,1,2,3.19,1.29,1.42,4,0.76,3.46,1,2021.0,0
85.0,1,2,3.59,1.25,1.35,6,0.72,3.32,1,2020.0,0
79.0,0,2,3.27,1.37,1.4,4,0.86,3.63,2,2020.0,2
84.0,0,2,3.15,1.16,1.33,4,0.74,3.23,2,2020.0,2
100.0,2,3,4.07,1.51,1.64,0,0.75,3.91,2,2018.0,4
83.0,0,3,4.28,1.59,1.7,4,0.91,4.2,0,2019.0,1
58.0,0,2,3.53,1.35,1.42,3,0.83,3.6,3,2019.0,0
57.0,1,2,3.49,1.42,1.41,4,0.76,3.59,0,2018.0,0
98.0,0,2,3.48,1.36,1.42,4,0.8,3.59,2,2020.0,3
95.0,0,3,4.15,1.51,1.7,4,0.94,4.15,0,2012.0,4
62.0,0,3,4.52,1.74,1.68,3,0.84,4.26,0,2018.0,2
89.0,0,2,3.34,1.39,1.52,4,0.87,3.78,2,2021.0,4
100.0,2,0,3.43,1.48,1.28,7,0.73,3.48,0,2020.0,0
56.0,0,2,3.67,1.33,1.43,3,0.82,3.58,2,2020.0,3
95.0,0,3,3.97,1.6,1.59,4,0.77,3.96,0,2018.0,4
100.0,2,3,4.35,1.64,1.73,4,0.97,4.35,0,2020.0,3
86.0,0,3,3.68,1.33,1.41,7,0.72,3.45,2,2021.0,2
65.0,0,3,4.12,1.38,1.47,4,0.76,3.6,0,2019.0,0
98.0,0,2,3.8,1.56,1.53,4,0.7,3.79,2,2016.0,3
96.0,0,3,3.9,1.47,1.53,4,0.9,3.9,0,2021.0,3
96.0,0,3,4.46,1.62,1.79,4,0.99,4.4,0,2020.0,3
96.0,2,3,4.31,1.69,1.67,3,0.96,4.31,0,2020.0,3
98.0,1,2,3.52,1.14,1.46,5,0.93,3.53,0,2020.0,4
97.0,0,3,3.92,1.26,1.42,4,0.89,3.56,0,2018.0,3
86.0,1,2,3.66,1.48,1.35,4,0.7,3.53,2,2019.0,3
61.0,0,3,3.34,1.5,1.49,4,0.82,3.8,0,2017.0,2
84.0,1,2,3.56,1.31,1.32,4,0.78,3.42,2,2021.0,2
98.0,0,3,3.79,1.33,1.46,4,0.82,3.61,0,2021.0,4
97.0,1,2,3.5,1.25,1.41,7,0.84,3.5,0,2020.0,4
75.0,0,2,3.22,1.35,1.4,4,0.84,3.59,0,2021.0,3
91.0,1,2,3.7,1.24,1.49,4,0.72,3.45,2,2018.0,0
33.0,1,2,3.28,1.3,1.49,4,0.65,3.43,2,2017.0,0
77.0,1,2,3.57,1.27,1.5,5,0.81,3.57,2,2020.0,0
76.0,0,2,3.72,1.67,1.25,4,0.75,3.67,2,2019.0,3
61.0,1,3,4.21,1.51,1.67,3,0.94,4.11,2,2021.0,3
81.0,1,2,3.54,1.3,1.34,0,0.71,3.34,3,2019.0,2
70.0,0,2,3.92,1.54,1.57,3,0.81,3.91,0,2021.0,3
76.0,1,2,3.02,1.32,1.35,1,0.84,3.51,2,2016.0,2
80.0,0,3,4.22,1.57,1.6,0,0.78,3.96,0,2019.0,4
79.0,0,2,3.8,1.38,1.48,3,0.81,3.68,0,2018.0,2
85.0,0,3,4.21,1.43,1.61,2,0.84,3.76,2,2020.0,2
100.0,1,2,3.05,1.03,1.31,4,0.71,3.05,3,2020.0,2
87.0,0,3,4.22,1.52,1.62,4,0.86,4.0,2,2020.0,2
85.0,0,2,3.73,1.37,1.52,4,0.84,3.73,2,2021.0,0
82.0,1,2,2.94,1.2,1.41,3,0.65,3.26,1,2021.0,0
91.0,1,2,2.51,1.35,1.37,3,0.78,3.5,0,2017.0,4
100.0,0,3,3.85,1.66,1.45,4,0.75,3.85,2,2021.0,2
80.0,1,2,3.29,1.46,1.39,3,0.73,3.58,0,2019.0,0
80.0,0,3,3.34,1.51,1.67,3,0.93,4.11,2,2021.0,4
82.0,0,3,4.22,1.65,1.66,4,0.81,4.11,2,2019.0,4
97.0,0,2,3.72,1.26,1.48,4,0.8,3.53,2,2020.0,3
